
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/SlideEditing_1280x704_30.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 1280x704 30Hz
Internal Format                   : 1280x704 30Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 37.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 37 QP 37 )     480088 bits [Y 33.2895 dB    U 37.8954 dB    V 37.2781 dB] [ET  5.65 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 40 QP 40 )        152 bits [Y 33.2895 dB    U 37.8969 dB    V 37.2775 dB] [ET  4.53 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 39 QP 39 )        168 bits [Y 33.2921 dB    U 37.8966 dB    V 37.2800 dB] [ET  5.97 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 40 QP 40 )        456 bits [Y 33.2508 dB    U 37.8716 dB    V 37.2401 dB] [ET  7.38 ] [L0 2 1 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 38 QP 38 )       5240 bits [Y 33.5260 dB    U 37.8957 dB    V 37.2465 dB] [ET 10.24 ] [L0 3 2 1 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 40 QP 40 )       4656 bits [Y 33.0361 dB    U 37.8683 dB    V 37.1169 dB] [ET  9.65 ] [L0 4 3 2 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 39 QP 39 )       4240 bits [Y 32.8136 dB    U 37.8575 dB    V 37.0141 dB] [ET  9.67 ] [L0 5 4 3 0 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 40 QP 40 )       3544 bits [Y 32.5912 dB    U 37.8129 dB    V 37.1173 dB] [ET 10.01 ] [L0 6 5 4 0 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 38 QP 38 )      32848 bits [Y 33.3627 dB    U 37.9410 dB    V 37.2108 dB] [ET 11.18 ] [L0 7 6 4 0 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 40 QP 40 )       7128 bits [Y 32.4710 dB    U 37.9083 dB    V 37.0239 dB] [ET 10.01 ] [L0 8 7 4 0 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 39 QP 39 )       6000 bits [Y 32.3152 dB    U 37.7645 dB    V 36.9888 dB] [ET 10.25 ] [L0 9 8 4 0 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8160 bits [Y 31.4916 dB    U 37.7135 dB    V 36.8398 dB] [ET  9.90 ] [L0 10 8 4 0 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 38 QP 38 )      32360 bits [Y 33.2157 dB    U 37.8146 dB    V 37.0611 dB] [ET 11.43 ] [L0 11 8 4 0 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 40 QP 40 )       4096 bits [Y 33.0368 dB    U 37.8655 dB    V 37.0602 dB] [ET  9.88 ] [L0 12 8 4 0 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 39 QP 39 )       1704 bits [Y 33.0284 dB    U 37.6802 dB    V 37.1177 dB] [ET  9.73 ] [L0 13 12 8 4 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 40 QP 40 )       2056 bits [Y 32.8326 dB    U 37.6708 dB    V 37.0686 dB] [ET  9.69 ] [L0 14 12 8 4 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 38 QP 38 )       7320 bits [Y 33.3228 dB    U 37.7953 dB    V 37.1823 dB] [ET 10.14 ] [L0 15 12 8 4 ] [L1 ]
POC   17 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.3227 dB    U 37.7954 dB    V 37.1823 dB] [ET  9.39 ] [L0 16 12 8 4 ] [L1 ]
POC   18 TId: 0 ( P-SLICE, nQP 39 QP 39 )        144 bits [Y 33.3227 dB    U 37.7954 dB    V 37.1823 dB] [ET  9.22 ] [L0 17 16 12 8 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.3213 dB    U 37.7949 dB    V 37.1823 dB] [ET  9.17 ] [L0 18 16 12 8 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 38 QP 38 )       1104 bits [Y 33.3833 dB    U 37.7970 dB    V 37.1956 dB] [ET  9.51 ] [L0 19 16 12 8 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.3827 dB    U 37.7967 dB    V 37.1953 dB] [ET  9.17 ] [L0 20 16 12 8 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 39 QP 39 )        264 bits [Y 33.3730 dB    U 37.7957 dB    V 37.1937 dB] [ET  9.01 ] [L0 21 20 16 12 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 40 QP 40 )        992 bits [Y 33.3611 dB    U 37.7945 dB    V 37.1672 dB] [ET  9.42 ] [L0 22 20 16 12 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 38 QP 38 )       2000 bits [Y 33.3894 dB    U 37.7963 dB    V 37.1462 dB] [ET  9.73 ] [L0 23 20 16 12 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.3894 dB    U 37.7963 dB    V 37.1462 dB] [ET  9.20 ] [L0 24 20 16 12 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 33.3895 dB    U 37.7938 dB    V 37.1464 dB] [ET  9.08 ] [L0 25 24 20 16 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.3895 dB    U 37.7937 dB    V 37.1464 dB] [ET  9.08 ] [L0 26 24 20 16 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 38 QP 38 )        472 bits [Y 33.4099 dB    U 37.8039 dB    V 37.1726 dB] [ET  9.28 ] [L0 27 24 20 16 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 40 QP 40 )       1520 bits [Y 33.2240 dB    U 37.8101 dB    V 37.1395 dB] [ET  9.39 ] [L0 28 24 20 16 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 39 QP 39 )       1456 bits [Y 33.2391 dB    U 37.8033 dB    V 37.1055 dB] [ET  9.40 ] [L0 29 28 24 20 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 40 QP 40 )       1208 bits [Y 33.2889 dB    U 37.8461 dB    V 37.1211 dB] [ET  9.40 ] [L0 30 28 24 20 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 38 QP 38 )       5768 bits [Y 33.3729 dB    U 37.8928 dB    V 37.1115 dB] [ET  9.92 ] [L0 31 28 24 20 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 40 QP 40 )       1248 bits [Y 33.2770 dB    U 37.9103 dB    V 37.1351 dB] [ET  9.35 ] [L0 32 28 24 20 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 33.2771 dB    U 37.9138 dB    V 37.1368 dB] [ET  9.02 ] [L0 33 32 28 24 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 33.2771 dB    U 37.9138 dB    V 37.1367 dB] [ET  9.09 ] [L0 34 32 28 24 ] [L1 ]
